"Status","Source","Output","SourceBytes","OutputBytes","SavingPercent","Message"
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_achaea_patras_carnival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_achaea_patras_carnival.jpg","3794554","504143","86.7",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_andros_international_andros_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_andros_international_andros_festival.jpg","3069681","325999","89.4",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_argolis_epidaurus_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_argolis_epidaurus_festival.jpg","3088029","321762","89.6",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_arta_orange_tangerine_kiwi_and_olive_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_arta_orange_tangerine_kiwi_and_olive_festival.jpg","3759770","472648","87.4",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_attica_athens_authentic_marathon.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_attica_athens_authentic_marathon.jpg","3296728","376656","88.6",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_attica_athens_international_tattoo_convention.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_attica_athens_international_tattoo_convention.jpg","3572541","424705","88.1",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_attica_athens_jazz.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_attica_athens_jazz.jpg","3247000","351845","89.2",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_attica_athens_street_food_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_attica_athens_street_food_festival.jpg","3502624","421015","88",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_attica_august_full_moon_under_the_moonlight_sounion.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_attica_august_full_moon_under_the_moonlight_sounion.jpg","3038589","298671","90.2",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_attica_comicdom_con_athens.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_attica_comicdom_con_athens.jpg","3542688","444937","87.4",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_attica_release_athens_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_attica_release_athens_festival.jpg","3158364","346838","89",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_boeotia_athens_flying_week.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_boeotia_athens_flying_week.jpg","3005071","319024","89.4",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_boeotia_gaitanaki_of_livadia.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_boeotia_gaitanaki_of_livadia.jpg","3563340","448503","87.4",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_chalkidiki_sani_festival.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_chalkidiki_sani_festival.jpg","3348306","365673","89.1",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_chios_rouketopolemos.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_chios_rouketopolemos.jpg","3112959","341969","89",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_corfu_corfu_easter.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_corfu_corfu_easter.jpg","3839503","500952","87",""
"Converted","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out\greece_corinthia_great_days_of_nemea.png","C:\Users\limit\Downloads\IMAGEPRO\episode\game_out-JPG\greece_corinthia_great_days_of_nemea.jpg","3400935","403075","88.1",""
